name	coverage_before_LINE	coverage_after_LINE	gene	strand_exon	strand_LINE
ENST00000370899.7	14.96880930769231	0.6153770909090909	FPGT-TNNI3K	+	-
ENST00000326637.8	2.3264564545454545	0.43409764285714286	TNNI3K	+	-
ENST00000328299.4	6.57156	3.123805	ST6GALNAC3	+	-
ENST00000370801.8	36.05714	85.59637000000001	ZZZ3	-	+
ENST00000370798.5	36.2842	90.67376	ZZZ3	-	+
ENST00000370721.5	1.2962733333333334	98.574697	ADGRL2	+	-
ENST00000370723.5	1.2962733333333334	98.41601518181818	ADGRL2	+	-
ENST00000370725.5	1.2962733333333334	94.9261884347826	ADGRL2	+	-
ENST00000370727.5	1.2962733333333334	99.04975654545454	ADGRL2	+	-
ENST00000370728.5	1.2962733333333334	98.53783336363637	ADGRL2	+	-
ENST00000370730.5	1.2962733333333334	103.02974495238095	ADGRL2	+	-
ENST00000650063.1	0.0	0.0	ENSG00000233290	-	+
ENST00000370571.7	2.833698607142857	2.13492025	COL24A1	-	+
ENST00000645056.1	0.7656676666666666	0.0172	PKN2-AS1	-	+
ENST00000656153.1	0.0	0.0	ARHGAP29-AS1	+	-
ENST00000370192.8	17.73718125	24.893228571428573	DPYD	-	+
ENST00000648951.1	0.0	15.07571111111111	LINC01709	+	-
ENST00000657394.1	0.0	12.144814285714286	LINC01709	+	-
ENST00000663157.1	0.0	0.0	LINC01709	+	-
ENST00000656484.1	0.0	0.0	LINC01709	+	-
ENST00000695767.1	0.0	191.27760777777777	PDE4DIP	+	-
ENST00000695768.1	0.0	182.36142227272728	PDE4DIP	+	-
ENST00000706647.1	0.0	196.04787380952382	PDE4DIP	+	-
ENST00000530472.5	0.0	222.17196666666666	PDE4DIP	+	-
ENST00000695794.1	0.0	182.47397347826086	PDE4DIP	+	-
ENST00000524974.5	0.0	185.19991066666665	PDE4DIP	+	-
ENST00000620605.4	0.0	124.8147	PDE4DIP	+	-
ENST00000585156.5	0.0	182.63839304347826	PDE4DIP	+	-
ENST00000650631.1	0.0	25.687094	LINC00970	-	+
ENST00000715525.1	0.0	24.349514285714285	LINC00970	-	+
ENST00000715526.1	0.0	30.581229999999998	LINC00970	-	+
ENST00000715528.1	0.0	0.0	LINC00970	-	+
ENST00000715529.1	0.0	0.22338499999999997	LINC00970	-	+
ENST00000457405.2	0.0	0.0	LINC00970	-	+
ENST00000669750.1	1.5563605	0.0	ENSG00000231424	-	+
ENST00000670085.1	1.3225906666666667	0.321726	ENSG00000231424	-	+
ENST00000664920.1	1.4874204	0.0	ENSG00000231424	-	+
ENST00000688173.1	1.186756	0.3423425	DNM3	+	-
ENST00000485254.3	1.0951885333333333	0.8232903333333333	DNM3	+	-
ENST00000627582.3	1.1734162857142858	0.844896	DNM3	+	-
ENST00000355305.9	1.0951885333333333	0.8232903333333333	DNM3	+	-
ENST00000367731.5	1.1734162857142858	0.985712	DNM3	+	-
ENST00000520906.5	1.1734162857142858	0.3978545	DNM3	+	-
ENST00000432694.2	0.0	0.0	ENSG00000224228	+	-
ENST00000367649.8	27.119933333333332	56.48252	RASAL2	+	-
ENST00000696605.1	21.78912	56.10338	RASAL2	+	-
ENST00000642319.1	365.153	126.6143	ACBD6	-	+
ENST00000367595.4	378.7925	267.351	ACBD6	-	+
ENST00000294854.13	0.0	0.0	RGSL1	+	-
ENST00000655976.1	0.0	0.0	LINC01350	-	+
ENST00000439633.7	0.0	0.0	LINC01350	-	+
ENST00000665129.1	0.0	0.0	LINC01350	-	+
ENST00000656143.1	0.1666665	0.22860724999999998	ENSG00000227240	+	-
ENST00000538004.5	177.745	310.098	NEK7	+	-
ENST00000367385.9	179.91595555555557	297.383	NEK7	+	-
ENST00000367007.5	0.0	0.5860264	KCNH1	-	+
ENST00000638498.1	0.0	0.5877536	KCNH1	-	+
ENST00000271751.10	0.0	0.65815675	KCNH1	-	+
ENST00000639952.1	0.0	0.65819825	KCNH1	-	+
ENST00000640044.1	0.0	0.5869482500000001	KCNH1	-	+
ENST00000640566.1	0.0	0.3434225	KCNH1	-	+
ENST00000657470.1	0.46171275	0.0	LYPLAL1-DT	-	+
ENST00000669535.1	0.52379275	0.092322	LYPLAL1-DT	-	+
ENST00000687117.1	0.51689775	0.5519545	LYPLAL1-DT	-	+
ENST00000652067.1	0.3074325	0.0	ENSG00000236230	-	+
ENST00000343846.7	1.271678	3.85541	SUSD4	-	+
ENST00000484758.6	2.30214	3.862041666666667	SUSD4	-	+
ENST00000366878.9	2.067223333333333	3.8583583333333333	SUSD4	-	+
ENST00000494793.6	2.059563333333333	3.5354833333333335	SUSD4	-	+
ENST00000681669.1	1.4216625	3.8583583333333333	SUSD4	-	+
ENST00000681305.1	1.3923375	3.8583583333333333	SUSD4	-	+
ENST00000681285.1	1.5259575	3.863385	SUSD4	-	+
ENST00000680429.1	1.4789925	3.86364	SUSD4	-	+
ENST00000344029.6	2.10508	2.3349533333333334	SUSD4	-	+
ENST00000366669.9	50.39476666666667	71.49231333333333	COG2	+	-
ENST00000366668.7	54.82086666666667	71.52455333333333	COG2	+	-
ENST00000534989.1	40.908144666666665	71.49900666666667	COG2	+	-
ENST00000602956.5	137.93062	26.687905	TSNAX-DISC1	+	-
ENST00000439617.8	27.85875888888889	35.28845	DISC1	+	-
ENST00000628350.2	18.832588333333334	2.50369	DISC1	+	-
ENST00000535983.5	27.932503333333333	18.4343	DISC1	+	-
ENST00000366637.8	27.932503333333333	36.245125	DISC1	+	-
ENST00000622252.4	29.82674125	35.293800000000005	DISC1	+	-
ENST00000536534.7	9.534462	4.780772	PLD5	-	+
ENST00000427495.5	8.18618	5.6806719999999995	PLD5	-	+
ENST00000442594.6	9.263941666666668	5.6806719999999995	PLD5	-	+
ENST00000407071.7	17.579708888888888	24.16285	KIF26B	+	-
ENST00000630181.2	46.91006	96.83015	SMYD3	-	+
ENST00000490107.6	48.36601	97.48795	SMYD3	-	+
ENST00000419394.2	3.06839	1.0	ENSG00000293331	-	+
ENST00000648019.1	30.979506	1.76451	ENSG00000293331	-	+
ENST00000690803.1	0.0	10.813201428571428	GRHL3	+	-
ENST00000655056.1	0.0	0.0	ENSG00000223944	-	+
ENST00000337495.9	37.9786	96.7891076923077	SCMH1	-	+
ENST00000372596.5	37.39035	93.4824	SCMH1	-	+
ENST00000372597.5	37.39035	95.50027692307692	SCMH1	-	+
ENST00000695335.1	29.229175	93.0675	SCMH1	-	+
ENST00000695336.1	48.9759	88.52558333333333	SCMH1	-	+
ENST00000606738.3	1.603364	2.5409040000000003	TRABD2B	-	+
ENST00000452503.1	1.061122	1.5945683333333334	ENSG00000290466	-	+
ENST00000371847.8	24.800918181818183	27.733400000000003	SPATA6	-	+
ENST00000396199.7	24.3578	27.737000000000002	SPATA6	-	+
ENST00000371843.7	26.2098	29.02945	SPATA6	-	+
ENST00000456002.2	0.0	0.0	ENSG00000229846	+	-
ENST00000287727.8	7.42405	40.77944166666666	ZFYVE9	+	-
ENST00000371591.2	11.5855	37.57251631578947	ZFYVE9	+	-
ENST00000357206.6	16.7419	39.99458529411765	ZFYVE9	+	-
ENST00000641611.1	0.0	9.604585714285715	ENSG00000260971	-	+
ENST00000641155.1	0.0	5.84837	ENSG00000260971	-	+
ENST00000641177.1	0.0	3.2670033333333333	ENSG00000260971	-	+
ENST00000641942.1	0.0	4.55176	ENSG00000260971	-	+
ENST00000642129.1	1411.98154	4.55176	ENSG00000284686	-	+
ENST00000641502.1	0.0	2.32191	ENSG00000260971	-	+
ENST00000641594.1	0.0	2.6166660000000004	ENSG00000260971	-	+
ENST00000647858.1	2.7708536666666665	0.0	FGGY-DT	-	+
ENST00000371218.8	21.826903	23.9417	FGGY	+	-
ENST00000303721.12	23.806734545454546	23.88338	FGGY	+	-
ENST00000371212.5	21.907422222222223	23.90248	FGGY	+	-
ENST00000371210.1	19.3191	23.90248	FGGY	+	-
ENST00000371059.7	253.37488666666667	13.14081	LEPR	+	-
ENST00000371060.7	253.37488666666667	13.719643529411764	LEPR	+	-
ENST00000349533.11	259.2448866666667	12.799044	LEPR	+	-
ENST00000344610.12	4.68033	12.794554	LEPR	+	-
ENST00000616738.4	4.68033	13.72717294117647	LEPR	+	-
ENST00000347310.10	0.0	0.0010455285714285713	IL23R	+	-
ENST00000697154.1	0.0	0.0	IL23R	+	-
ENST00000697163.1	0.0	0.0	IL23R	+	-
ENST00000697230.1	0.0	0.0	IL23R	+	-
ENST00000697164.1	0.0	0.0	IL23R	+	-
ENST00000697165.1	0.0	0.0	IL23R	+	-
ENST00000643361.1	0.435605	1.68596	ENSG00000285407	+	-
ENST00000425517.1	0.0	0.247312	LINC01707	+	-
ENST00000651989.2	0.715037625	0.6529216842105263	LRRC7	+	-
ENST00000310961.9	0.6586615555555556	0.7098248333333333	LRRC7	+	-
ENST00000415775.2	0.532558	0.9090433333333333	LRRC7	+	-
ENST00000419450.1	0.0	0.0	LINC01788	+	-
ENST00000668734.1	0.0	0.0	ENSG00000225087	-	+
ENST00000654386.1	0.0	0.0	ENSG00000225087	-	+
ENST00000656766.1	0.0	0.0	ENSG00000225087	-	+
ENST00000395089.5	1.1915375	0.0	LRRIQ3	-	+
ENST00000354431.9	2.057626	0.0	LRRIQ3	-	+
ENST00000370909.6	2.2627949999999997	0.0	LRRIQ3	-	+
ENST00000370895.5	15.019809307692308	1.1001968333333334	FPGT-TNNI3K	+	-
ENST00000263187.4	0.263254625	0.7835320833333334	MSH4	+	-
ENST00000477717.6	2.09237	1.1864873333333334	ST6GALNAC5	+	-
ENST00000370758.5	0.8572774999999999	33.747	PTGFR	+	-
ENST00000370742.4	18.4476	28.192237499999997	ADGRL4	-	+
ENST00000671209.1	17.797012857142857	29.298014285714284	ADGRL4	-	+
ENST00000661030.1	13.279334555555556	28.438162499999997	ADGRL4	-	+
ENST00000655029.1	13.279334555555556	29.5007625	ADGRL4	-	+
ENST00000656841.1	17.765267142857144	29.6635	ADGRL4	-	+
ENST00000426972.8	12.357	48.846716666666666	DDAH1	-	+
ENST00000699483.1	4.12577	0.0846605	CLCA4-AS1	-	+
ENST00000456587.1	0.0	0.19114233333333333	CLCA4-AS1	-	+
ENST00000650379.1	0.0	0.0	CLCA4-AS1	-	+
ENST00000316005.11	36.8971	78.89961	PKN2	+	-
ENST00000370521.8	42.1429	99.79080952380953	PKN2	+	-
ENST00000370513.9	54.8246	103.2735	PKN2	+	-
ENST00000671515.1	0.0	0.193853	ENSG00000286548	-	+
ENST00000370453.5	13.767384999999999	45.137950000000004	ENSG00000271949	+	-
ENST00000370440.5	3.43069	77.8729	ZNF644	-	+
ENST00000347275.9	3.46774	82.28946666666667	ZNF644	-	+
ENST00000337393.10	16.0851	77.94268	ZNF644	-	+
ENST00000361321.5	9.16549	86.72313333333334	ZNF644	-	+
ENST00000370425.8	3.2601860666666664	8.400107555555556	HFM1	-	+
ENST00000706885.1	47.976683333333334	89.924	EVI5	-	+
ENST00000684568.2	49.72551052631579	89.924	EVI5	-	+
ENST00000370331.5	50.55224705882353	89.924	EVI5	-	+
ENST00000706867.1	45.02110652380952	62.3457	EVI5	-	+
ENST00000706868.1	47.26857	70.5707	EVI5	-	+
ENST00000706843.1	50.14884555555555	77.7722	EVI5	-	+
ENST00000540033.3	50.09182777777778	77.7722	EVI5	-	+
ENST00000615519.4	27.1351	83.83385	DIPK1A	-	+
ENST00000613902.4	27.1351	93.97806666666666	DIPK1A	-	+
ENST00000616709.4	27.1351	95.3909	DIPK1A	-	+
ENST00000370310.5	44.2273	94.69185	DIPK1A	-	+
ENST00000370214.9	125.23275909090908	165.143	ABCD3	+	-
ENST00000634870.1	5.36533	8.1550852	SLC44A3-AS1	-	+
ENST00000635184.1	5.51603	7.3683705	SLC44A3-AS1	-	+
ENST00000418366.2	5.70943	10.13593	SLC44A3-AS1	-	+
ENST00000634861.1	5.39484	7.897776666666666	SLC44A3-AS1	-	+
ENST00000370203.9	7.775616	13.8298	TLCD4	+	-
ENST00000604534.5	8.3644855	37.9598	TLCD4-RWDD3	+	-
ENST00000456933.1	0.0	0.0	LINC02607	+	-
ENST00000665349.1	0.0	0.0	LINC02607	+	-
ENST00000435311.1	0.0	0.0	LINC01787	-	+
ENST00000602672.2	0.0	1.010631	MIR137HG	-	+
ENST00000425113.1	0.0	0.0	PLPPR5-AS1	+	-
ENST00000660510.1	0.0	0.0	PLPPR5-AS1	+	-
ENST00000658279.1	0.0	0.0	PLPPR5-AS1	+	-
ENST00000662973.1	0.0	0.0	PLPPR5-AS1	+	-
ENST00000370112.8	35.5205	51.25855	SLC30A7	+	-
ENST00000357650.9	35.81585	53.85066666666667	SLC30A7	+	-
ENST00000358392.6	94.932825	100.21536063492063	COL11A1	-	+
ENST00000353414.8	94.932825	101.77632903225806	COL11A1	-	+
ENST00000370096.9	94.0525	101.74985555555556	COL11A1	-	+
ENST00000512756.5	95.50139999999999	103.16665081967213	COL11A1	-	+
ENST00000461720.6	95.30125	79.85566418181818	COL11A1	-	+
ENST00000645458.1	79.30879999999999	83.50591504761904	COL11A1	-	+
ENST00000644186.1	94.0525	84.066836	COL11A1	-	+
ENST00000647280.1	94.0525	83.512322	COL11A1	-	+
ENST00000370056.9	14.312185333333334	327.2672333333333	VAV3	-	+
ENST00000527011.5	14.450442666666667	304.53414615384617	VAV3	-	+
ENST00000307546.14	28.01725	35.757236363636366	MAGI3	+	-
ENST00000369617.8	25.10721818181818	30.520232727272727	MAGI3	+	-
ENST00000369615.5	27.89672	33.589060833333335	MAGI3	+	-
ENST00000369611.4	27.95363	30.520232727272727	MAGI3	+	-
ENST00000369522.8	0.0	0.0	SYCP1	+	-
ENST00000613524.4	0.0	0.0	SYCP1	+	-
ENST00000618516.4	0.0	0.0	SYCP1	+	-
ENST00000369518.1	0.0	0.0	SYCP1	+	-
ENST00000667138.1	37.38986666666666	0.0	WARS2-AS1	+	-
ENST00000440150.5	41.448049999999995	18.11565	WARS2-AS1	+	-
ENST00000670000.1	39.5173	15.6292	WARS2-AS1	+	-
ENST00000418015.1	26.5730275	0.86361	WARS2-AS1	+	-
ENST00000367123.8	45.901136666666666	68.72768571428571	SRGAP2C	+	-
ENST00000304465.7	45.0363	76.21958333333333	SRGAP2C	+	-
ENST00000612199.4	54.52263333333333	83.12101428571428	SRGAP2B	-	+
ENST00000641863.3	58.94996666666667	83.03668571428571	SRGAP2B	-	+
ENST00000619867.4	0.3478864	11.1983	LINC00624	-	+
ENST00000630125.3	0.0	5.9458400000000005	CCDST	+	-
ENST00000669830.1	0.0	6.313437142857143	CCDST	+	-
ENST00000420707.5	0.0	5.2515045	CCDST	+	-
ENST00000368799.2	1.32692	1.255405	FLG	-	+
ENST00000368176.8	0.0	0.3466498	FCRL1	-	+
ENST00000358292.7	0.0	0.38599133333333335	FCRL1	-	+
ENST00000491942.1	0.0	0.4106271	FCRL1	-	+
ENST00000693113.1	0.0	0.0	ENSG00000289484	-	+
ENST00000534968.5	10.0	44.63176	CD84	-	+
ENST00000368054.8	29.5192	44.63614	CD84	-	+
ENST00000311224.8	29.1021	37.79533333333333	CD84	-	+
ENST00000368048.7	29.1021	38.57083333333333	CD84	-	+
ENST00000368051.3	29.1021	46.3752	CD84	-	+
ENST00000368037.9	1.143234	0.786572125	LY9	+	-
ENST00000392203.8	1.2057250000000002	0.8822315714285714	LY9	+	-
ENST00000263285.11	1.381035	0.7719526250000001	LY9	+	-
ENST00000361897.10	1.22597	7.4175844444444445	NOS1AP	+	-
ENST00000530878.5	1.42549	7.749075555555556	NOS1AP	+	-
ENST00000653824.2	0.0	0.0	ENSG00000229588	+	-
ENST00000366408.3	0.0	0.0	LINC00970	-	+
ENST00000715531.1	0.0	0.0	LINC00970	-	+
ENST00000715535.1	0.0	0.485472	LINC00970	-	+
ENST00000715536.1	0.0	0.68385	LINC00970	-	+
ENST00000715537.1	0.0	0.4467366666666666	LINC00970	-	+
ENST00000367765.5	39.025333333333336	73.91175294117647	KIFAP3	-	+
ENST00000367767.5	47.6646	73.91175294117647	KIFAP3	-	+
ENST00000490550.2	39.025333333333336	73.91175294117647	KIFAP3	-	+
ENST00000361580.7	48.78906666666667	73.9503294117647	KIFAP3	-	+
ENST00000538366.5	47.462833333333336	69.86590555555556	KIFAP3	-	+
ENST00000647382.2	141.88125263157895	297.39376875	PRRC2C	+	-
ENST00000367742.7	142.39353157894737	313.4001333333333	PRRC2C	+	-
ENST00000338920.8	142.58874210526315	313.4001333333333	PRRC2C	+	-
ENST00000426496.6	144.90533888888888	313.4001333333333	PRRC2C	+	-
ENST00000714429.1	11.290825	1.39767	TNFSF4	-	+
ENST00000714430.1	8.462443333333333	2.1922275	TNFSF4	-	+
ENST00000714470.1	7.4914499999999995	2.19427	TNFSF4	-	+
ENST00000714471.1	9.187873333333332	2.9296066666666665	TNFSF4	-	+
ENST00000693292.1	0.0	0.0	ENSG00000289426	+	-
ENST00000356198.6	21.800466666666665	20.0779325	CENPL	-	+
ENST00000682279.1	27.264733333333332	25.533166666666666	CENPL	-	+
ENST00000345664.10	21.5332	26.8446	CENPL	-	+
ENST00000367710.7	20.392613333333333	26.8446	CENPL	-	+
ENST00000251507.8	36.620752631578945	37.0956	RABGAP1L	+	-
ENST00000681986.1	36.63302631578947	80.28567142857143	RABGAP1L	+	-
ENST00000325589.9	20.491274999999998	80.63237142857143	RABGAP1L	+	-
ENST00000367687.5	20.491274999999998	80.0355	RABGAP1L	+	-
ENST00000347255.6	20.491274999999998	80.10495714285715	RABGAP1L	+	-
ENST00000489615.5	16.381429999999998	80.28567142857143	RABGAP1L	+	-
ENST00000654248.1	0.7415579999999999	0.12235	COP1-DT	+	-
ENST00000670762.1	0.0	0.23532599999999998	ENSG00000227579	-	+
ENST00000664407.1	0.0	0.299809	ENSG00000227579	-	+
ENST00000354921.7	7.529184065	14.548664777777777	CRYZL2P-SEC16B	-	+
ENST00000617277.4	0.2876444166666667	0.0	AXDND1	+	-
ENST00000367618.8	0.2618124	0.0	AXDND1	+	-
ENST00000287713.7	11.6935	18.815486	NMNAT2	-	+
ENST00000304685.8	3.87799	94.31834222222223	RGL1	+	-
ENST00000367511.4	11.333	14.085913333333332	NIBAN1	-	+
ENST00000367501.7	33.043445625	35.80076666666667	SWT1	+	-
ENST00000367500.9	33.072476875	34.962833333333336	SWT1	+	-
ENST00000271588.9	6.58960806	29.013657142857145	HMCN1	+	-
ENST00000655945.1	0.67424	0.896577	PDC-AS1	+	-
ENST00000643891.1	1.967255	0.037122999999999996	LINC01036	+	-
ENST00000648838.2	1.74307	1.5348735	ENSG00000285894	+	-
ENST00000413356.1	0.0	0.0	LINC01720	+	-
ENST00000648197.1	0.0	0.0	ENSG00000285638	-	+
ENST00000642855.1	3.599745	0.257715	ENSG00000285280	-	+
ENST00000644134.1	2.0419253333333334	0.593449	ENSG00000285280	-	+
ENST00000367433.9	0.0	0.14567515384615384	KCNT2	-	+
ENST00000294725.14	0.0	0.14027977777777778	KCNT2	-	+
ENST00000451324.6	0.0	0.1836532608695652	KCNT2	-	+
ENST00000609185.5	0.0	0.16246249999999998	KCNT2	-	+
ENST00000695970.1	0.9712325625	2.49542	CFH	+	-
ENST00000695971.1	0.9774063125	2.0489074	CFH	+	-
ENST00000696032.1	1.1885215384615384	0.0158807	ENSG00000289697	+	-
ENST00000695974.1	1.0390315333333333	2.0489074	CFH	+	-
ENST00000695976.1	0.9257731176470588	2.0489074	CFH	+	-
ENST00000695981.1	0.998054625	2.472071166666667	CFH	+	-
ENST00000696027.1	1.0122160625	1.9840314	CFH	+	-
ENST00000696028.1	1.0130854375	2.0207804	CFH	+	-
ENST00000696029.1	1.0130854375	1.9887214	CFH	+	-
ENST00000695984.1	1.17526725	2.0489074	CFH	+	-
ENST00000367429.9	1.0181054375	2.0489074	CFH	+	-
ENST00000699466.1	0.0	0.0	CFHR5	+	-
ENST00000256785.5	0.0	0.0	CFHR5	+	-
ENST00000699468.1	0.0	0.0	CFHR5	+	-
ENST00000620048.6	4.9806122	7.992404615384616	DENND1B	-	+
ENST00000235453.8	5.400046	5.066045	DENND1B	-	+
ENST00000367396.7	5.053444	5.066045	DENND1B	-	+
ENST00000573034.8	71.1725	110.26787585	SRGAP2	+	-
ENST00000419187.6	65.6077	91.04453333333333	SRGAP2	+	-
ENST00000605610.5	85.88065	102.27023983333333	SRGAP2	+	-
ENST00000624873.3	82.7986	109.74571085	SRGAP2	+	-
ENST00000654974.1	0.0	0.0	ENSG00000232537	-	+
ENST00000537238.5	0.0	0.009238733333333334	SYT14	+	-
ENST00000637265.1	0.0	0.010082775	SYT14	+	-
ENST00000367019.6	0.0	0.011548357142857143	SYT14	+	-
ENST00000699295.1	0.0	0.007918914285714286	SYT14	+	-
ENST00000472886.5	0.0	0.009238733333333334	SYT14	+	-
ENST00000367015.5	0.0	0.009238733333333334	SYT14	+	-
ENST00000639602.1	0.0	41.8629	KCNH1	-	+
ENST00000638983.1	0.0	42.3874	KCNH1	-	+
ENST00000661331.1	66.538725	32.16425	LINC00467	+	-
ENST00000423222.6	66.8212	30.4054	LINC00467	+	-
ENST00000670353.1	67.628525	32.72491333333333	LINC00467	+	-
ENST00000667464.1	46.76311666666667	48.066500000000005	LINC00467	+	-
ENST00000659698.1	55.7474	32.19291666666667	LINC00467	+	-
ENST00000654903.1	48.36248333333333	32.790976666666666	LINC00467	+	-
ENST00000637598.1	0.0	0.0	LINC02775	-	+
ENST00000391895.6	0.0	0.0	KCNK2	+	-
ENST00000444842.7	0.0	0.0	KCNK2	+	-
ENST00000391894.6	0.0	0.0	KCNK2	+	-
ENST00000366933.5	1.7641218	5.423805333333333	SPATA17	+	-
ENST00000366917.6	10.166441666666666	13.765561666666667	MARK1	+	-
ENST00000402574.5	10.209453333333332	13.790058181818182	MARK1	+	-
ENST00000611084.4	10.209453333333332	13.75232	MARK1	+	-
ENST00000366918.8	9.564816	13.787730909090909	MARK1	+	-
ENST00000677505.1	9.77807	13.805678333333333	MARK1	+	-
ENST00000678435.1	9.316552857142858	13.805678333333333	MARK1	+	-
ENST00000651706.1	185.99456666666666	122.595	ENSG00000286231	+	-
ENST00000715677.1	0.03258146666666666	0.0081967	LINC01705	-	+
ENST00000675850.1	2.7561	40.2014375	DISP1	+	-
ENST00000675961.1	4.49843	43.738485714285716	DISP1	+	-
ENST00000445597.6	4.411985268292683	2.30640885	DNAH14	+	-
ENST00000430092.5	4.800048389830509	2.2539344	DNAH14	+	-
ENST00000682510.1	4.784463524590164	2.22774988	DNAH14	+	-
ENST00000439375.6	4.829168534482759	2.2539344	DNAH14	+	-
ENST00000685406.1	0.0	0.10488125	ENSG00000282564	+	-
ENST00000366618.8	0.558627	0.40461616666666667	SLC35F3	+	-
ENST00000647428.1	97.4952	66.01963571428571	ENSG00000285053	+	-
ENST00000645655.1	48.7502066	63.94855333333333	ENSG00000285053	+	-
ENST00000647186.1	60.824735000000004	64.26642	ENSG00000285053	+	-
ENST00000646624.1	32.74193325	64.19613333333334	ENSG00000285053	+	-
ENST00000645205.1	52.5155066	64.0504	ENSG00000285053	+	-
ENST00000645351.1	64.7726	63.94855333333333	ENSG00000285053	+	-
ENST00000651186.1	17.17164	64.75345714285714	TBCE	+	-
ENST00000406207.5	17.219365	62.3684	TBCE	+	-
ENST00000645899.1	18.009085	57.93982142857143	TBCE	+	-
ENST00000644578.1	18.20075	63.279471428571426	TBCE	+	-
ENST00000642610.2	18.38271	59.29005333333333	TBCE	+	-
ENST00000543662.4	18.50338	60.871851875	TBCE	+	-
ENST00000366601.8	18.50338	67.7469	TBCE	+	-
ENST00000644217.1	32.0962	63.479573333333335	TBCE	+	-
ENST00000389793.7	8.55385	17.80610503846154	LYST	-	+
ENST00000366592.8	157.64846	180.316	GPR137B	+	-
ENST00000676153.1	0.9475	1.831146	CHRM3	+	-
ENST00000675184.1	0.9475	2.4434460000000002	CHRM3	+	-
ENST00000615928.5	0.6666666666666666	2.445996	CHRM3	+	-
ENST00000676433.1	1.0	2.4465126666666666	CHRM3	+	-
ENST00000255380.8	1.0352564	1.8310493333333333	CHRM3	+	-
ENST00000669820.1	0.0	0.0	ENSG00000287516	+	-
ENST00000662773.1	0.0	0.0	ENSG00000287516	+	-
ENST00000668538.1	0.0	0.0	ENSG00000287516	+	-
ENST00000667955.1	0.0	0.0	ENSG00000287516	+	-
ENST00000660302.1	0.0	0.0	ENSG00000287516	+	-
ENST00000660633.1	0.0	0.0	ENSG00000287516	+	-
ENST00000366558.7	155.03559	352.6882	KMO	+	-
ENST00000366559.9	159.07247	328.94440000000003	KMO	+	-
ENST00000366557.8	160.38175	322.48400000000004	KMO	+	-
ENST00000336199.9	34.783657142857145	35.5591	AKT3	-	+
ENST00000366540.5	30.1650375	39.09048333333333	AKT3	-	+
ENST00000673466.1	30.6284525	37.679050000000004	AKT3	-	+
ENST00000672578.1	32.48693142857143	37.08735	AKT3	-	+
ENST00000366539.6	29.961707142857144	37.093466666666664	AKT3	-	+
ENST00000680056.1	34.82363333333333	33.39908333333333	AKT3	-	+
ENST00000263826.12	30.57519375	33.39908333333333	AKT3	-	+
ENST00000366534.9	2.6752924545454544	4.288674545454546	CATSPERE	+	-
ENST00000366531.7	3.4260587499999997	4.328971818181818	CATSPERE	+	-
ENST00000366533.8	2.6752924545454544	4.509436	CATSPERE	+	-
ENST00000366518.4	16.659651666666665	24.1633	KIF26B	+	-
